product_name	allergens	countries_en	nutriscore_grade	energy-kcal_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	proteins_100g	level_1	level_2	level_3
 lithuanian rye bread		United States	c	228.0	2.63	0.0	47.37	8.77	5.26	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Southern Sauce		United States	e	250.0	0.0	0.0	43.75	34.38	0.0	condiments	sauces	groceries
2 heads lettuce		United States	a	11.0	0.0	0.0	2.25	2.25	1.12	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Microwavable Brussels Sprouts		United States	a	47.62	0.6	0.0	7.14	2.38	2.38	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 Spiced Apple Cider		United States	b	46.0	0.0	0.0	11.25	10.0	0.0	condiments	sauces	groceries
Mixed Peppers		United Kingdom	not-applicable	19.0	0.5	0.1	2.5	2.3	0.8	plant-based-foods-and-beverages	plant-based-foods	condiments
 Vital Wheat Gluten		United States	a	333.0	0.0	0.0	0.0	0.0	66.67	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 mochi, cashew-date		United States	a	244.0	4.44	0.0	53.33	6.67	4.44	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Turkish Dried Apricots		United States	unknown	300.0	0.0		72.5	37.5		plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
Granola honey almonds	en:nuts	United States	b	400.0	14.55	2.73	60.0	21.82	9.09	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Bramly Apple & Blackberry Crumble		United Kingdom	c	285.0	11.8	6.8	41.1	21.1	2.8	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
21 Seasoning Salute		United States	not-applicable	0.0	0.0	0.0	0.0	0.0	0.0	plant-based-foods-and-beverages	plant-based-foods	condiments
SuperGreen Salad		United Kingdom	a	88.0	3.9	0.5	6.7	4.8	5.1	plant-based-foods-and-beverages	plant-based-foods	fruits-and-vegetables-based-foods
 red onion & peas artisan pasta	en:eggs,en:gluten,en:milk	United States	a	180.0	4.5	1.5	29.0	1.0	9.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
 Basil & Mozzarella Rovioli	en:eggs,en:gluten	United States	c	170.0	9.0	5.0	25.0	2.0	12.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Roasted mushroom ravioli	en:eggs,en:gluten,en:milk	United States	b	200.0	7.0	4.0	28.0	1.0	8.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
Gold Fish Shaped Ravioli!	en:eggs,en:gluten	United States	c	270.0	8.0	5.0	34.0	5.0	13.0	plant-based-foods-and-beverages	plant-based-foods	cereals-and-potatoes
