name	minutes	tags	nutrition	n_steps	steps	description	ingredients	n_ingredients
wasabi three bean salad	15	['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'side-dishes', 'beans', 'vegetables', 'easy', 'vegan', 'vegetarian', 'dietary', 'soy-tofu', 'green-yellow-beans']	[144.0, 11.0, 8.0, 12.0, 18.0, 3.0, 4.0]	7	"[""the zaar computer didn't like japanese pickled ginger liquid so i had to change it"", 'also', 'in pot of lightly salted water cook green beans for about 5 minutes then add the soybeans', 'place bean sprouts in colander and rinse: when water returns to boil after adding soy drain over sprouts', 'rinse the green bean / soy with cold water to stop cooking', 'whisk ginger , liquid , garlic , oil , braggs , wasabi and salt together in a bowl', 'add in the beans and sprouts plus the scallions and toss']"	i like three bean salad.  i like wasabi... well...  from real simple.	['green beans', 'edamame', 'fresh bean sprout', 'pickled ginger', 'pickled ginger liquid', 'garlic cloves', 'canola oil', 'braggs liquid aminos', 'wasabi powder', 'salt', 'scallions']	11
fast and easy garbanzo salad	2	['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'for-1-or-2', 'healthy', 'salads', 'beans', 'easy', 'european', 'vegan', 'vegetarian', 'dietary', 'low-cholesterol', 'inexpensive', 'chick-peas-garbanzos', 'healthy-2', 'low-in-something', 'number-of-servings']	[443.9, 35.0, 2.0, 50.0, 22.0, 15.0, 17.0]	6	['drain peas and rinse with warm water', 'grate the onion on a grater , squeeze the lemon', 'add the spices , mix', 'finally , stir in the olive oil and taste , adding more spices if desired', 'add peas and if possible , marinate for half an hour', 'serve cool']	made in three minutes and good to most hot food, or as it is, served with bread.	['garbanzo beans', 'lemon', 'onion', 'garlic', 'salt', 'black pepper', 'cayenne pepper', 'oregano', 'olive oil']	9
roasted nutmeg cauliflower	25	['30-minutes-or-less', 'time-to-make', 'main-ingredient', 'cuisine', 'preparation', 'north-american', '5-ingredients-or-less', 'vegetables', 'american', 'oven', 'easy', 'beginner-cook', 'vegan', 'vegetarian', 'dietary', 'midwestern', 'inexpensive', 'cauliflower', 'equipment']	[97.1, 11.0, 11.0, 10.0, 5.0, 5.0, 2.0]	5	['preheat the oven to 425 degrees', 'place the cauliflower in a 9x13 inch baking dish , toss with the oil , and sprinkle with the nutmeg and salt', 'cover', 'roast for 20 to 30 minutes , stir occasionally-edges should get toasty', 'top with yogurt']	a variation from the food you crave.  time to relax while in the oven.:)  i suppose it all depends upon the size of the floret how much roasting time is needed.	['cauliflower', 'extra virgin olive oil', 'ground nutmeg', 'kosher salt', 'greek yogurt']	5
tofu with onions peppers and tomatoes	50	['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'healthy', 'main-dish', 'beans', 'vegetables', 'vegan', 'vegetarian', 'stove-top', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'soy-tofu', 'healthy-2', 'low-in-something', 'tomatoes', 'equipment']	[149.8, 16.0, 12.0, 0.0, 14.0, 8.0, 2.0]	12	"['drain the tofu , blot with a paper towel and cut into bite sized cubes', 'mix the curry powder and half the lime juice in a large bowl', 'add the tofu cubes and toss', 'let marinate for a least an hour', 'heat 2 oz of the oil in a skillet , add the tofu and cook over medium-high heat until brown', 'then turn off heat , add the remaining lime juice and set aside', 'heat the remaining oil in a skillet with the cumin seeds', ""when hot , add the onions and saute over high heat until they're lightly brown"", 'add the green peppers , garlic , ginger , cayenne , coriander and turmeric', 'cook some more minutes until the peppers have softened somewhat', 'add the tofu and tomatoes and cook until the tofu is heated through', 'add the cilantro and serve']"	"derived from ""this can't be tofu"" and adapted for the fat flush plan."	['firm tofu', 'curry powder', 'limes, juice of', 'olive oil', 'cumin seeds', 'onions', 'green peppers', 'garlic', 'ginger', 'cayenne', 'coriander', 'turmeric', 'roma tomatoes', 'cilantro']	14
hommus arabic dip	20	['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'appetizers', 'beans', 'asian', 'middle-eastern', 'easy', 'no-cook', 'beginner-cook', 'dinner-party', 'vegan', 'vegetarian', 'dips', 'spreads', 'food-processor-blender', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'inexpensive', 'chick-peas-garbanzos', 'low-in-something', 'brunch', 'equipment', 'small-appliance', 'presentation', 'served-cold', 'technique']	[412.9, 25.0, 1.0, 98.0, 30.0, 11.0, 18.0]	11	['boil garbanzo beans for 5 minutes on medium heat , drain', 'place garbanzo beans , sesame tahine , lemon juice , crushed garlic , salt , and water in food processor', 'blend for about 20 seconds to make a smooth and creamy dip', 'you can add more salt or lemon juice if desired', 'also heat pignoli nuts with 2 tablespoons of olive oil and stir fry until light brown', 'place hommus in a large flat serving plate and garinsh with chopped parsley , pignoli nuts , radish , and paprika', 'cover hommus with 2 tbs', 'of olive oil', 'ready to serve', 'hommus is best when served cold', 'its great with arabic bread or pita chips']	"hommus is very simple but also very tasty,nourishing,delicious recipe. hommus is very popular in the middle east and also in the west. hommus is healthy vegetarian dish and is an excellent source of fiber.
hommus is great with arabic (pita) bread  or pita chips."	['garbanzo beans', 'tahini', 'salt', 'garlic cloves', 'lemon, juice of', 'water', 'paprika', 'cumin', 'pine nuts', 'olive oil', 'fresh parsley']	11
quick and easy yunnan potatoes	11	['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', '5-ingredients-or-less', 'side-dishes', 'potatoes', 'vegetables', 'asian', 'chinese', 'easy', 'vegan', 'vegetarian', 'dietary']	[270.8, 15.0, 9.0, 0.0, 10.0, 8.0, 13.0]	7	['heat wok or heavy skillet over high heat', 'add oil and swirl to coat bottom of pan', 'add chiles and cook , stirring , until they begin to puff up , about 30 seconds', 'add potatoes and stir-fry for about 3 minutes , pressing them against the pan to brown them', 'add scallions and salt and stir-fry another 2 minutes', 'i prefer to remove the chiles before serving', 'serve hot , cold or at room temperature']	slightly spicy chinese stir-fried potatoes.  adapted from hot sour salty sweet.  this is a nice summer dish because it can be served at any temperature. i prefer peeled potatoes for this dish.	['peanut oil', 'dried thai chiles', 'potatoes', 'scallion', 'salt']	5
vegetable stuffing for cornish game hens	25	['lactose', '30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'stuffings-dressings', 'side-dishes', 'vegetables', 'easy', 'beginner-cook', 'dinner-party', 'holiday-event', 'kosher', 'vegan', 'vegetarian', 'stove-top', 'dietary', 'christmas', 'new-years', 'low-calorie', 'inexpensive', 'egg-free', 'mushrooms', 'free-of-something', 'low-in-something', 'carrots', 'onions', 'equipment', 'number-of-servings']	[140.1, 10.0, 19.0, 20.0, 8.0, 19.0, 5.0]	4	['in a large skillet cook the carrots , celery , leeks , mushrooms & onion in the 2 tbsp of butter for about 3 minutes', 'add thyme , salt , pepper', 'mix bread crumbs with the veggies', 'cool mixture before stuffing birds']	this is a slightly different stuffing, very tasty and if you don't eat fowl just have it as a side dish. this recipe is enough for 4 cornish hens but if you are just cooking two put the rest of the stuffing in an oven proof dish and heat for about 25 minutes. in this way you can accommodate your vegetarians friends as well.	['carrot', 'celery', 'leek', 'mushroom', 'onion', 'butter', 'thyme', 'salt', 'pepper', 'whole wheat bread']	10
nommy falafel burgers	15	['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'lunch', 'beans', 'easy', 'beginner-cook', 'vegan', 'vegetarian', 'nuts', 'dietary', 'sandwiches', 'inexpensive', 'black-beans', '3-steps-or-less']	[123.3, 11.0, 3.0, 0.0, 15.0, 3.0, 3.0]	4	"['mix all the ingredients together', 'press into patties', 'light fry in canola oil on medium-high until golden brown on both sides , about 3 minutes', ""serve on a bun with your choice of condiments: hummus , lettuce , tomato , avocado , sprouts , annie's goddess dressing , tahini , veganaise and cilantro""]"	these falafel burgers have a rich meaty flavor. serve them to vegans and omnis alike. they'll all love it.	['falafel mix', 'nutritional yeast', 'braggs liquid aminos', 'sliced almonds', 'ground flax seeds', 'sesame seeds', 'beans', 'onion', 'cayenne pepper', 'garlic powder', 'water']	11
tasty vegetarian chili	80	['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'main-dish', 'beans', 'vegetables', 'mexican', 'easy', 'beginner-cook', 'vegan', 'vegetarian', 'chili', 'dietary', '4-hours-or-less']	[447.8, 19.0, 34.0, 1.0, 45.0, 8.0, 22.0]	10	['lightly saute the coursely cut onion and pepper and sliced celery for 2-3 minutes , then add the crushed garlic and sliced mushrooms and cook for further 1-2 minutes', 'drain , rinse and add the beans then the chilli , cumin and coriander', 'gently cook this mixture for a couple of minutes then add the chopped tomatoes and the stock made in enough water to cover the mixture', 'this may now be cooked on a hob or in an oven for about 45 minutes', 'stir 2-3 times whilst cooking and add water if needed', 'at this point add the bulgar wheat and tomatoe puree', 'more water may be added if neccessary and the basil and mint if desired and this is then cooked for a further 15 minutes', 'at the very end add the english mustard and the worcestershire sauce , these make this simple dish special', 'salt and pepper to taste', 'serve this with wholegrain rice , garlic toast , and a green salad']	chilli has always been my fave dish and i have tried many variations on the basic content.  this is the best i've come up with.  the ingredients can be varied personal taste, the final two ingredients are what makes this dish stand out!	['vegetable oil', 'onions', 'garlic cloves', 'green pepper', 'mushroom', 'celery', 'chopped tomatoes', 'red kidney beans', 'bulgar wheat', 'tomato puree', 'vegetable stock', 'oregano', 'chili powder', 'ground cumin', 'ground coriander', 'mint', 'basil', 'english mustard', 'vegan worcestershire sauce']	19
watermelon curry matira	20	['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'for-1-or-2', 'low-protein', 'healthy', 'appetizers', 'desserts', 'side-dishes', 'fruit', 'asian', 'indian', 'dinner-party', 'holiday-event', 'low-fat', 'picnic', 'summer', 'vegan', 'vegetarian', 'dietary', 'low-sodium', 'gluten-free', 'low-cholesterol', 'seasonal', 'low-saturated-fat', 'low-calorie', 'low-carb', 'independence-day', 'healthy-2', 'free-of-something', 'low-in-something', 'melons', 'taste-mood', 'savory', 'to-go', 'number-of-servings']	[266.8, 9.0, 181.0, 24.0, 9.0, 3.0, 18.0]	8	['cut up the watermelon , remove the rind and seeds and chop the flesh into 1-inch cubes pure 1 cup of flesh to make juice', 'add the paprika , ground red pepper , turmeric , coriander , garlic and salt to taste', 'heat the oil in a skillet over high heat and fry the cumin seeds 20 seconds', 'immediately add the juice', 'lower the heat and simmer until the liquid is reduced by one-third , about 5 minutes', 'add the lime juice and sugar to taste', 'cook 1 minute', 'add the watermelon pieces and cook over low heat 3 to 4 minutes , tossing to coat until heated through']	this sounds so amazing. simple. different. summer fun! could be served as an appetizer, side dish or dessert. adapted from 	['watermelon', 'paprika', 'ground red pepper', 'ground turmeric', 'ground coriander', 'garlic', 'salt', 'oil', 'cumin seed', 'lime juice', 'sugar']	11
