product_name,categories_tags
a p p l e t u r n o v e r,"snacks,sweet-snacks,viennoiseries,apple-turnovers"
b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
f r m e r c h e e s e,"dairies,fermented-foods,fermented-milk-products,cheeses"
s l m d e v r ă,"meats-and-their-products,prepared-meats,cured-sausages,salami"
g e r m n f i n e b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
t o d y s t e m p t t i o n s l i t h u n i n r y e b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
m c v i t i e s d i g e s t i v e s c h e e s e c k e l e m o n,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
m c v i t i e s m i n i g i n g e r b r e d m e n m i l k c h o c o l t e,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
b k e r s b e s t w h i t e b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
b k e r s b e s t r y e b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
u d o n,"plant-based-foods-and-beverages,plant-based-foods,pastas,udon"
o t m e l r i s i n c o o k i e s,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
t h e b e s t p e n u t b u t t e r c o o k i e s,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
t h e b e s t c h o c o l t e c h i p c o o k i e s i n t h e w o r l d,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
b e s t s w e e t p o t t o c o o k i e s,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
b e s t g i n g e r s n p c o o k i e s,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
s w e e t b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
t e l e r 5 p i e z s,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
e n g l i s h t e s c o n e s o r n g e,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
c o l o r b o m b e,"snacks,sweet-snacks,confectioneries,candies"
w f e r s,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
p i n m i e t o s t n t u r e c n p e,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
i o d i z e d s l t,"condiments,salts,iodised-salts,groceries"
d r i n k m i x,"beverages,dried-products,dried-products-to-be-rehydrated,dehydrated-beverages"
c r e m y w h e t c e r e l,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,cereals-and-their-products"
l o w f t m i l k l t e r n t i v e,"plant-based-foods-and-beverages,dairy-substitutes,milk-substitutes,creamer"
c h o c o l t e m o r n i n g m o o s,"plant-based-foods-and-beverages,dairy-substitutes,milk-substitutes,creamer"
a u g s o n f r m s v i t l w h e t g l u t e n,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,cereals-and-their-products"
l e u r 3 m i l k s o f t r i p e n e d c h e e s e,"dairies,fermented-foods,fermented-milk-products,cheeses"
b l o c c o b m b u e x t r c r e m w f e r f i l l e d w i t h h z e l n u t c r e m,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
t e r r i n e d e c e r f,"meats-and-their-products,prepared-meats,terrines,fr:terrines-de-cerf"
m p l e s y r u p,"sweeteners,syrups,simple-syrups,maple-syrups"
c o o k e d s h r i m p,"seafood,crustaceans,shrimps,cooked-shrimps"
r e d u c e d f t m y o d r e s s i n g,"condiments,sauces,mayonnaises,groceries"
h r i b o h p p y c o l c n d y,"snacks,sweet-snacks,confectioneries,candies"
g i n t w h i t e e n r i c h e d b r e d w h i t e,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
h o t d o g 8 e n r i c h e d b u n s,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
1 0 0 w h o l e w h e t b r e d,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
6 e n g l i s h m u f f i n s,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
s l s,"condiments,sauces,dips,groceries"
s e s o n e d f r e n c h c r o u t o n s,"plant-based-foods-and-beverages,plant-based-foods,cereals-and-potatoes,breads"
w e i s s m i t p r i k o s e n f r u c h t f u l l u n g l e b k u c h e n h e r z e n,"snacks,sweet-snacks,biscuits-and-cakes,biscuits"
t o r t e l l i n i j m b o n c r u f u m é,"meals,pasta-dishes,stuffed-pastas,tortellini"
k i r k l n d u n s l t e d m i x e d n u t s,"plant-based-foods-and-beverages,plant-based-foods,nuts-and-their-products,nuts"
